Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Facebook,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Similar Companies,Trend Score (90 Days),Patents Granted,Most Popular Patent Class,Trademarks Registered,Most Popular Trademark Class
Infinity biotech,https://www.crunchbase.com/organization/infinity-biotech,,"Biotechnology, Health Care, Medical","Rivergaro, Emilia-Romagna, Italy",Infinity biotech is a biotechnology company that provides disinfection technologies and services.,"1,736,142","European Union (EU), Europe, Middle East, and Africa (EMEA)",29029,$10M to $50M,Active,2015-01-01,year,,,,,For Profit,https://infinitybiotechspa.com,https://www.linkedin.com/company/infinity-biotech-spa,https://www.facebook.com/infinitybiotechservice/,info@infinitybiotech.com,+39 0523 186 0316,"Infinity Biotech is a Biotechnology company that provides Disinfection technologies and services. Their pathogens are found all over the world, and they develop disinfection technologies and methods that enable all interested companies to become industry professionals.",,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",,,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,28,-1.8,,,,
Gallerist,https://www.crunchbase.com/organization/gallerist,,"Apparel, Beauty, E-Commerce, Fashion, Shoes","São Paulo, Sao Paulo, Brazil","Gallerist offers apparel, accessories and beauty products for men, women and children.","1,742,663",Latin America,2232,,Active,2011-01-01,year,,,,,For Profit,https://www.gallerist.com.br,https://www.linkedin.com/company/galleristblog&shop,https://www.facebook.com/gallerist,shop@gallerist.com.br,+55 11 3842-0994,,,,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,25,1.6,,,,
Merylo,https://www.crunchbase.com/organization/merylo,,"Health Care, Manufacturing, Medical Device","Varedo, Lombardia, Italy",Merylo is a manufacturing company of medical equipment which is used to therapy for patients with liquid cancers.,"1,783,631","European Union (EU), Europe, Middle East, and Africa (EMEA)",20814,Less than $1M,Active,2018-01-01,year,,,,,For Profit,https://merylo.it,https://www.linkedin.com/company/merylo,,info@merylo.it,,"Merylo is developing a better therapy for patients with liquid cancers. With our innovative medical device that, it will be possible to entrap the chemotherapeutical agent into the patient’s red blood cells, obtaining a sustained release. The device will work directly on the patients’ own blood at their bedside.",,,,,,,,,,,,"Health Care, Manufacturing",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,6,-1.1,,,,
Onedigit,https://www.crunchbase.com/organization/onedigit,,"Advertising, Graphic Design, Marketing, Social Media Marketing","Milan, Lombardia, Italy","Onedigit is a marketing and communication agency that provides social media marketing, digital advertising, and graphic design services.","1,788,208","European Union (EU), Europe, Middle East, and Africa (EMEA)",20124,,Active,2018-01-01,year,,,,,For Profit,https://www.onedigit.it,https://www.linkedin.com/company/onedigit,https://www.facebook.com/onedigitsrl,info@onedigit.it,+39 348 670 0289,"Onedigit offers a service ranging from logo design to the development of sites and e-Commerce, to the creation of content up to the management of sponsored on social networks. media and on Google. Their services include social media marketing, graphic design, digital advertising, site development, and copywriting.",,,,,,,,,,,,"Advertising, Design, Sales and Marketing",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,23,1.5,,,,
Glass to Power,https://www.crunchbase.com/organization/glass-to-power,,"Consulting, Energy, Renewable Energy","Milan, Lombardia, Italy",Glass to Power is a scouting and consulting company for technological adoption.,"1,848,005","European Union (EU), Europe, Middle East, and Africa (EMEA)",20125,$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://www.glasstopower.com,https://www.linkedin.com/company/glass-to-power/,https://www.facebook.com/profile.php?id=100063750000175,info@glasstopower.com,+39 0464 443269,"Glass to Power builds envelopes that generate electricity, install thermal and acoustic insulation, and contribute to building autonomy by lowering energy needs.",,,,,,,,,,,,"Energy, Professional Services, Sustainability",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,11,-2.1,4,Basic Electric Elements,0,
Hole In One,https://www.crunchbase.com/organization/hole-in-one-5a65,,"Bakery, Food and Beverage, Food Processing, Restaurants","Orleans, Massachusetts, United States","Hole In One is a bakery that offers coffee and teas, donut, and pastries as well as sit-down breakfast and lunch.","1,867,399","East Coast, New England, Northeastern US",02653,$10M to $50M,Active,,,,,,,For Profit,https://theholecapecod.com/,,https://www.facebook.com/profile.php?id=100063528100129,ktaber@theholecapecod.com,+1 508-255-3740,,,,,,,,,,,,,Food and Beverage,,,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,14,-0.9,,,,
KeyCrime,https://www.crunchbase.com/organization/keycrime,,"Analytics, Software","Milan, Lombardia, Italy",Crime Analysis for the New Generation of Predictive Policing Software,"1,870,954","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,Active,2018-01-01,year,,,,,For Profit,http://keycrime.com,https://www.linkedin.com/company/keycrime,,,,,,,,,,,,,,,,"Data and Analytics, Software",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,5.7,0,,1,Scientific and electric apparatus and instruments
TTG,https://www.crunchbase.com/organization/ttg-9c6a,,"Logistics, Supply Chain Management, Transportation","Moscow, Moscow City, Russian Federation","TTG is a cargo transportation company that specializes in freight, supply chain management, logistics, and fleet management services.","1,911,505","Europe, Middle East, and Africa (EMEA)",,,Active,2010-01-01,year,,,,,For Profit,https://www.ttggroup.ru/,https://www.linkedin.com/company/ttg-transtehcnogroup-/,,zapros@ttggroup.ru,+7-495-481-2262,,,,,,,,,,,,,Transportation,,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,15,3.4,,,,
Hooro,https://www.crunchbase.com/organization/hooro,,"Analytics, Consumer Research, Retail Technology","Bologna, Emilia-Romagna, Italy","Through a proprietary device generates new analytics at shelf (OOS, AOOS, remote stock inventory) and  intercepts consumer behavior in PoS.","1,922,781","European Union (EU), Europe, Middle East, and Africa (EMEA)",40127,,Active,2017-05-15,day,,,,,For Profit,https://www.hooro.store,https://www.linkedin.com/company/hooro/,https://www.facebook.com/hoorosrl/,info@hooro.store,,,,,,,,,,,,,,"Commerce and Shopping, Data and Analytics, Design, Hardware, Software",3,"Mario Croci, Mirko Menecali, Saverio Ermanno Lorè",1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,5.6,,,,
D&D Group,https://www.crunchbase.com/organization/d-d-technologies,,"Building Material, Manufacturing, Security","North Sydney, New South Wales, Australia","D&D Group designs, manufactures and sells safety gate hardware, locks and hinges.","1,924,521","Asia-Pacific (APAC), Australasia",2086,,Active,1985-01-01,year,2022-11-01,day,,,For Profit,https://www.ddtechglobal.com,https://www.linkedin.com/company/d&d-technologies/,https://www.facebook.com/DDTechnologiesAusNZ/,sales@ddtech.com.au,+61 2 9454 7888,"D&D Group designs, manufactures and sells safety gate hardware, locks and hinges.",,,,,,,,,,,,"Manufacturing, Privacy and Security, Real Estate",,,101-250,,M&A,,,,,,,,,,,,,,,,,,,,Was Acquired,D&D Group acquired by ASSA ABLOY Group,https://www.crunchbase.com/acquisition/assa-abloy-group-acquires-d-d-technologies--4a608fb4,ASSA ABLOY Group,https://www.crunchbase.com/organization/assa-abloy-group,2022-11-01,day,,,,Acquisition,,Private,,,,,,,,,,,,,2,0,16,Locks; Keys; Window Or Door Fittings; Safes,1,Common metals and their alloys; ores
Experiences,https://www.crunchbase.com/organization/experiences-e537,,"Productivity Tools, Software, Web Apps","Seattle, Washington, United States","Experiences offers a fully integrated, bookable retail tool for stores, allowing management of all bookable experiences via Shopify admin.","1,969,373","Greater Seattle Area, West Coast, Western US",,,Active,2019-01-01,year,,,,,For Profit,https://www.experiencesapp.com,https://www.linkedin.com/company/experiencesapp,https://www.facebook.com/experiencesapp/,hello@experiencesapp.com,,"Experiences is a software company that offers a fully integrated, bookable retail tool for stores. The tool allows store owners to manage all their bookable experiences through the Shopify admin and access all attendees through their browser, POS, or their iOS app. The company also provides a platform for creating and editing experiences, customizing the app to the store's theme, and giving feedback to the Experiences team for more informed product decisions. The company's services are inspired by scavenger hunts, offering real-world interactive experiences for communities.",,,,,,,,,,,,"Apps, Software",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3,-1.5,,,,
WebDomotica,https://www.crunchbase.com/organization/webdomotica,,"Electronic Design Automation (EDA), Software, Web Development","Rome, Lazio, Italy",WebDomotica is an automation platform that designs and develops management systems for companies.,"1,989,634","European Union (EU), Europe, Middle East, and Africa (EMEA)",00128,,Active,,,,,,,For Profit,http://www.webdomotica.it,,,info@webdomotica.it,+39 06 47544153,"WebDomotica provides home automation, hotel home automation, sports home automation, software development, and electronic design services. They designed and developed management systems in a multi-platform, web-based architecture for various services of both public and private small, medium, and large companies, using both open-source and proprietary languages and operating systems.",,,,,,,,,,,,"Hardware, Software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10,5.2,,,,
GeDy TrAss,https://www.crunchbase.com/organization/gedy-trass,,"Consulting, Mechanical Design, Software","Turin, Piemonte, Italy",GeDy TrAss develops tools and solutions for the mechanical design.,"1,990,142","European Union (EU), Europe, Middle East, and Africa (EMEA)",10138,$1M to $10M,Active,2019-05-01,month,,,,,For Profit,https://www.gedytrass.com,https://www.linkedin.com/company/gedy-trass,https://www.facebook.com/gedytrass,info@gedytrass.com,+39 328 742 9473,"GeDy TrAss offers static and dynamic design, FE linear and non-linear simulations, rotordynamics and experimental analysis. They provide consulting services that include gear and NVH, design, structural dynamics, tools and algorithms, and test bench design.",,,,,,,,,,,,"Design, Hardware, Professional Services, Software",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10,2.6,,,,
Saski,https://www.crunchbase.com/organization/saski,,Apparel,"Gold Coast, Queensland, Australia",Saski sell Retail Apparel and Fashion clothes.,"1,995,528","Asia-Pacific (APAC), Australasia",,,Active,2017-01-01,year,,,,,For Profit,https://us.saskicollection.com,https://www.linkedin.com/company/saskicollection,,,,,,,,,,,,,,,,Clothing and Apparel,1,Tammy Hembrow Hawkins,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10,-0.7,,,,
Monitoring Management,https://www.crunchbase.com/organization/monitoring-management,,"Communication Hardware, Data Center, IT Management, Power Grid","Charlotte, North Carolina, United States","Monitoring Management provides precision environmental control, power quality & backup, custom air handlers, and cable management floors.","2,036,794","East Coast, Southern US",,$1M to $10M,Active,1995-01-01,year,,,,,For Profit,https://monman.com,https://www.linkedin.com/company/monitoring-management-inc.-monman-,https://www.facebook.com/monmaninc,info@monman.com,1 866-291-6537,,,,,,,,,,,,,"Energy, Hardware, Information Technology",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,4.1,,,,
Soluziona,https://www.crunchbase.com/organization/soluziona,,"Energy, Environmental Consulting, Environmental Engineering","Porto Alegre, Rio Grande do Sul, Brazil",Soluziona Soluções em Energia e Meio Ambiente offers personalized energy and environmental solutions with a focus on social responsibility.,"2,088,280",Latin America,90630-080,$1M to $10M,Active,2006-01-01,year,,,,,For Profit,https://www.soluzionaenergia.com,https://www.linkedin.com/company/soluzionaenergia/,https://www.facebook.com/soluzionaema,comercial@soluzionaenergia.com,+55 51 99700 1705,"Soluziona Soluções em Energia e Meio Ambiente specializes in providing personalized solutions in the fields of energy and environment. The company is committed to social responsibility and sustainable development. It offers specialized consulting in energy and environment, providing customized solutions for businesses. The company also has a strong presence on social media platforms where it shares updates about its work and the industry.",,,,,,,,,,,,"Energy, Professional Services, Science and Engineering, Sustainability",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,12,0.9,,,,
Quokky,https://www.crunchbase.com/organization/quokky,,"Document Management, Internet, Mobile Apps","Udine, Friuli-Venezia Giulia, Italy","Quokky magically recognizes documents from your camera, gmail and dropbox. Reminds due dates, makes search easy and keeps records safe.","2,090,906","European Union (EU), Europe, Middle East, and Africa (EMEA)",33100,Less than $1M,Closed,2013-05-01,day,,,,none,For Profit,http://www.quokky.com/,https://www.linkedin.com/company/quokky-srl,https://www.facebook.com/quokky,info@quokky.com,390432570248,"Quokky is a mobile application that reminds its users of due dates and helps them keep everything organized. It recognizes its users’ documents from their mobile camera, Gmail, and Dropbox. Quokky offers a digital archive service for documents, a system that allows to pay invoices and bills issued by corporates or public administrations, and a wide array of other services that aim to simplify and organize the daily activities of the people. It enables its customers to receive all the mails in electronic format within their Quokky profile. Launched in 2013, Quokky is based in Udine, Italy.",,,,,,,,,,,,"Apps, Information Technology, Internet Services, Mobile, Software",3,"Filippo Veronese, Luciano Bandolin, Marco Zingarelli",11-50,3,Early Stage Venture,2015-06-16,,,,Series A,,,,Series A,180000,EUR,227145,680000,EUR,908539,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3,-2.8,0,,1,Scientific and electric apparatus and instruments
Social Nation,https://www.crunchbase.com/organization/social-nation,,"Advertising, Marketing, Social Media","Liverpool, Liverpool, United Kingdom","Social Nation is an advertising firm that provides celebrity management, marketing, endorsements, and social media services.","2,144,626","Europe, Middle East, and Africa (EMEA)",WA9 1UA,,Active,2018-01-01,year,,,,,For Profit,https://www.wearesn.com/,https://www.linkedin.com/company/socialnation-ltd/,https://www.facebook.com/socialnationltd/,kath@wearesn.com,+44 0796-456-7002,,,,,,,,,,,,,"Advertising, Internet Services, Media and Entertainment, Sales and Marketing",1,Katherine Jones,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10,2.7,,,,
Domoki,https://www.crunchbase.com/organization/domoki,,"Home Improvement, Home Services, Smart Home","Bergamo, Lombardia, Italy",Domoki is a smart switch that brings Android technology into homes.,"2,212,024","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2015-01-01,year,,,,,For Profit,https://www.domoki.com/en/,https://www.linkedin.com/showcase/domoki/,https://www.facebook.com/domokismarthome,info@domoki.com,+39 035 066 6135,"Domoki is a smart switch that brings Android technology into homes. The house electrical system advances significantly as a result of artificial intelligence and the inventive application of the Android operating system. Many electronic gadgets inside the home can be made smarter by using tiny sensors, actuators, and wireless detectors that are easily programmable thanks to the Zigbee standard. Domoki and Zigbee can also be used to measure electricity usage and check for errors or faults. Technology and financial savings without demanding job at home.",,,,,,,,,,,,"Consumer Electronics, Real Estate",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,9,4.3,,,,
Yalby,https://www.crunchbase.com/organization/yalby,,"Apps, Hotel, Mobile Apps","Sassari, Sardegna, Italy",Yalby is an app that presents the hotel's internal services.,"2,223,696","European Union (EU), Europe, Middle East, and Africa (EMEA)",07100,,Active,,,,,,,For Profit,https://www.yalby.com,,,info@yalby.com,+39 0282 955370,"Yalby is a mobile application that displays the hotel's internal services. Yalby is a digital concierge app that assists hotels, guests, and travelers by providing tours and travel experiences. The company's contact modes are by mail, phone, and physical address.",,,,,,,,,,,,"Apps, Mobile, Software, Travel and Tourism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,12,-0.1,0,,1,Scientific and electric apparatus and instruments
Moozicore,https://www.crunchbase.com/organization/moozicore,,"Apps, Digital Entertainment, Music, Music Streaming","Poznan, Wielkopolskie, Poland",Moozicore is a subversive music streaming service for businesses.,"2,243,624","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2017-01-01,day,,,,,For Profit,https://moozicore.com,https://www.linkedin.com/company/moozicore/,https://www.facebook.com/Moozicore/,contact@moozicore.com,,,,,,,,,,,,,,"Apps, Internet Services, Media and Entertainment, Music and Audio, Software",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,12,-0.9,0,,1,Scientific and electric apparatus and instruments
Marioway,https://www.crunchbase.com/organization/marioway,,Medical Device,"Milano, Lombardia, Italy",The Upright Revolution: narrowing the disability gap MarioWay is a hands-free wheelchair so extraordinary that everyone will desire it.,"2,269,488","European Union (EU), Europe, Middle East, and Africa (EMEA)",20133,Less than $1M,Active,2013-01-01,year,,,,,For Profit,http://www.marioway.it/word/,https://www.linkedin.com/company/www-marioway-it/,,,393313974899,Marioway is a startup and an electric and innovative wheelchair for people with paraplegia.,,,,,,,,,,,,Health Care,,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,3.8,2,Medical Or Veterinary Science; Hygiene,0,
QuiCon,https://www.crunchbase.com/organization/quicon,,"Information Technology, Mobile Apps, Software","Napoli, Campania, Italy",QuiCon is a proximity experience platform that links store at the end user with beacon technology.,"2,273,680","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,Closed,2014-02-27,day,,,,none,For Profit,http://quicon.eu/en/index.html,https://www.linkedin.com/company/quicon,https://www.facebook.com/quiconapp,,,"QuiCon is an innovative application that allows you to send promotions and information to users near stores through QuiCon technology, which sends a smartphone notification near shops and GPS mode to a distance of 50 km. ENGAGEMENT - Through the platform, it is possible to create, manage and send content to passers-by and moving people passing by points of interest where our technology is present. GAMIFICATION - The new Gamification frontier that allows the interactive gaming platform to be a unique experience in the store or in the mall. LOYALTY - QuiCon allows you through pre-established actions to loyalty and remunerate the user with discounts and gifts to accomplish some actions that can increase the reputation of the brand.",,,,,,,,,,,,"Apps, Information Technology, Mobile, Software",1,Marco De Landro,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3,-3.6,,,,
My Good Client,https://www.crunchbase.com/organization/my-good-client,,,,Create a happy community of friends sharing the best local experiences.,"2,387,794",,,,Active,2014-01-01,year,,,,,For Profit,https://mygoodclient.com/,https://www.linkedin.com/company/ministry-of-agriculture-&-cooperatives-dept-of-agribusiness-&-marketing,,,,,,,,,,,,,,,,,1,Daniele Bernardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,2.9,,,,
VRMedia Technology,https://www.crunchbase.com/organization/vrmedia-technology,,"Hardware, Software",,"VRMedia Technology's principal product is Kraken, a volumetric software and hardware system for editing, authoring and playback.","2,399,078",,,,Active,,,,,,,For Profit,http://www.vrmediatech.com/,,,info@VRMediaTech.com,,"VRMedia Technology's principal product is Kraken, a volumetric software and hardware system for editing, authoring and playback. Our application focus is industry; concentrating on infrastructure inspection, resource management and education, including digital twins and virtual humans. Key features are real-time visualization of massive point cloud datasets, often multiple terabytes in size. Seamless fusion of voxels, polygons, point clouds, text, volumetric sound and video into a single container. This integrated database can then be edited with sophisticated tools for sensor noise elimination, color blending, animation, segmentation, and annotation. Kraken is server driven and display agnostic; working in theaters, VR headsets, casting to your mobile device or on your office desktop.",,,,,,,,,,,,"Hardware, Software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,5,1.7,,,,
Sociallibreria,https://www.crunchbase.com/organization/sociallibreria,,"Artificial Intelligence (AI), Developer Platform, Information Technology, Mobile Apps, Software","Varese, Lombardia, Italy","Sociallibreria is a software company that develops e-commerce, video games, and mobile apps.","2,399,372","European Union (EU), Europe, Middle East, and Africa (EMEA)",21100,,Active,2014-07-31,day,,,,,For Profit,https://www.socialibreria.com,https://www.linkedin.com/company/sociallibreria,,info@sociallibreria.com,+39 3338862300,"Sociallibreria is a software company that develops custom software, artificial intelligence, e-commerce, video game development, computer graphics-stampa 3D, e-learning, blockchain, and mobile app. They also provide development, research, consulting, and training services.",,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Mobile, Science and Engineering, Software",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,33,-2.2,,,,
Just Knock,https://www.crunchbase.com/organization/just-knock,,"E-Commerce, Online Portals, Recruiting, Staffing Agency","Milano, Lombardia, Italy",Just Knock is an online portal that offers services for recruiting and selecting to both companies and job aspirants.,"2,402,297","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2014-01-01,day,,,,,For Profit,http://justknock.it,https://www.linkedin.com/company/just-knock,https://facebook.com/373838806122237,info@justknock.it,39-3883984892,,,,,,,,,,,,,"Administrative Services, Commerce and Shopping, Internet Services, Professional Services",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10,-2.3,0,,1,Scientific and electric apparatus and instruments
Quaglia,https://www.crunchbase.com/organization/quaglia-6609,,"Chemical, Manufacturing, Printing, Retail","Bergamo, Lombardia, Italy",Quaglia is a supply company that delivers graphic and textile screen printing products and services as well as produces inks.,"2,412,061","European Union (EU), Europe, Middle East, and Africa (EMEA)",24052,,Active,1975-01-01,year,,,,,For Profit,https://www.quaglia.it ,https://www.linkedin.com/company/quaglia,https://www.facebook.com/quagliasrl,info@quaglia.it,+39 035 53 20 40,,,,,,,,,,,,,"Commerce and Shopping, Content and Publishing, Manufacturing, Media and Entertainment, Science and Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,6,1,,,,
StarTeam,https://www.crunchbase.com/organization/starteam,,"Advertising, Digital Marketing, Marketing, Social Media Marketing, Web Development","New York, New York, United States",StarTeam is a digital marketing and business development agency that offers advertising services.,"2,415,769","Greater New York Area, East Coast, Northeastern US",10027,$1M to $10M,Active,2020-01-01,month,,,,,For Profit,https://www.starteam.am,https://www.linkedin.com/company/starteam,https://www.facebook.com/StarTeam.am,,,"StarTeam provides social media marketing, app marketing, web development, web design, graphic design, seo optimization, ppc marketing services, media promotion, online media management, reporting, analysis, and business and finance analysing services.",,,,,,,,,,,,"Advertising, Sales and Marketing, Software",1,David Arshakian,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,19,-1.1,,,,
Delumen,https://www.crunchbase.com/organization/delumen,,"3D Technology, Audio Recording and Production, Graphic Design, Mapping Services","Modena, Emilia-Romagna, Italy","Delumen is a laboratory of ideas specializing in mapping, multimedia installations, systems engineering, and audio productions.","2,422,110","European Union (EU), Europe, Middle East, and Africa (EMEA)",41123,$1M to $10M,Active,2013-01-01,year,,,,,For Profit,https://www.delumen.it,https://www.linkedin.com/company/delumen,https://www.facebook.com/delumenlab,info@delumen.it,+39 335 637 1961,"Delumen design multimedia solutions. They offer mapping, visual and multimedia installations, systems engineering, and audio productions. Delumen is a project open to relationships, collaborations, and suggestions such as generating the context for the idea to be born, shared, and realized.",,,,,,,,,,,,"Design, Hardware, Music and Audio, Navigation and Mapping, Software",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,7,-0.7,,,,
WELL-FARE,https://www.crunchbase.com/organization/well-fare,,"Business Development, Information Technology","Pontedera, Toscana, Italy","WELL-FARE creates digital solutions, technologies, and models to improve people's lives.","2,424,492","European Union (EU), Europe, Middle East, and Africa (EMEA)",56025,,Active,2018-01-01,year,,,,,For Profit,https://well-fare.cloud,https://www.linkedin.com/company/startup-wellfare,https://www.facebook.com/WELLFARE.cloud,info@well-fare.cloud,,"WELL-FARE is a vertical startup studio on welfare and positive impact. In synergy with startups, corporates, universities, and consultants, they help founders transform their projects into successful companies. They work to create connections between startups on their vertical.",,,,,,,,,,,,"Information Technology, Professional Services",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10,1.4,,,,
Smart Farm,https://www.crunchbase.com/organization/smart-farm,,"Agriculture, Farming","Meolo, Veneto, Italy","Smart Farm provides production, processing, and marketing of photosynthetic microorganisms.","2,452,805","European Union (EU), Europe, Middle East, and Africa (EMEA)",30020,,Active,,,,,,,For Profit,https://www.sfarm.it,,https://www.facebook.com/sfarm.it,info@sfarm.it,,"Smart Farm offers consultancy for the design, sale, assistance, and maintenance of plants for the production of photosynthetic microorganisms and their derivatives. They provide services like research and development in the field of microbiology applied to agriculture.",,,,,,,,,,,,Agriculture and Farming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,9,-0.1,,,,
Ardesia,https://www.crunchbase.com/organization/ardesia,,"Information Technology, Software","Vicenza, Veneto, Italy",Ardesia offers automation solutions for document management and optimized control of business processes for various sectors.,"2,469,119","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,1997-10-23,day,,,,,For Profit,http://www.ardesia.it,https://www.linkedin.com/company/ardesia-srl/about/,https://www.facebook.com/pg/ardesiasrl/about/?ref=page_internal,info@ardesia.it,39-0444601831,,,,,,,,,,,,,"Information Technology, Software",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8,2.8,,,,
Koala Electronics,https://www.crunchbase.com/organization/koala-electronics,,"Electronics, Manufacturing, Product Design","Tavagnasco, Piemonte, Italy","Koala Electronics designs, manufactures, and markets electronic and electromechanical systems.","2,491,917","European Union (EU), Europe, Middle East, and Africa (EMEA)",33010,,Active,2017-01-01,year,,,,,For Profit,https://koalaelectronics.it,https://www.linkedin.com/company/koala-electronics-srl,https://www.facebook.com/people/Koala-Electronics-srl/100068147559296,info@koalaelectronics.it,,"Koala Electronics offers industrialization and marketing of electronic and electro-mechanical solutions for distributed generation, sustainable mobility, mechatronic systems, and the conversion of energy. They offer related sectors and access to scientific research work. They offer the design and manufacturing of hardware, including topologies and non-traditional solutions.",,,,,,,,,,,,"Consumer Electronics, Design, Hardware, Manufacturing",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,39,-0.9,,,,
