Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Facebook,LinkedIn,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Lead Investments,Number of Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,Delisted Date,Delisted Date Precision,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Trend Score (90 Days),Similar Companies,Patents Granted,Trademarks Registered,Most Popular Patent Class,Most Popular Trademark Class
RicambiPro,https://www.crunchbase.com/organization/ricambipro,,"Automotive, Autonomous Vehicles, E-Commerce","San Valentino Torio, Campania, Italy",RicambiPro is a marketplace for buying and selling used auto parts.,"2,238,081","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2014-01-01,year,,,,,For Profit,https://ricambipro.it/,https://www.facebook.com/RicambiPro.it/,https://www.linkedin.com/company/ricambipro/,info@ricambipro.it,+ 39 081 5186065,RicambiPro is an eCommerce platform for buying and selling used auto parts.,,,,,,,,,,,,"Commerce and Shopping, Transportation",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4.2,7,,,,
REPORTAUS,https://www.crunchbase.com/organization/reportaus,,"Analytics, Big Data, Cloud Computing, SaaS","Siracusa, Sicilia, Italy","REPORTAUS offers cartographic platform for the collection, management, and sharing of municipal data services.","2,264,609","European Union (EU), Europe, Middle East, and Africa (EMEA)",96100,,Active,,,,,,,For Profit,https://www.mapcloud.it,,,info@reportaus.com,,"REPORTAUS provides organization, managemen, and sharing of municipal cartographic data services. They also offer analysis, planning, big data, cloud SaaS, digitization, advice, training, and digital cartography services.",,,,,,,,,,,,"Data and Analytics, Internet Services, Software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2.8,15,,,,
Intranet Management,https://www.crunchbase.com/organization/intranet-management,,"Consulting, Human Resources, Project Management, Training","Torri In Sabina, Lazio, Italy","Intranet Management specializes in internal communication, HR consulting, training, intranet design, and project management services.","2,308,022","European Union (EU), Europe, Middle East, and Africa (EMEA)",02047,Less than $1M,Active,2013-01-01,year,,,,,For Profit,https://www.intranetmanagement.it/,https://www.facebook.com/intranetManagement/,https://www.linkedin.com/company/intranet-management-srl/,info@intranetmanagement.it,+39-0765-268-514,,,,,,,,,,,,,"Administrative Services, Education, Other, Professional Services",1,Giacomo Mason,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.9,28,,,,
Etna Hitech,https://www.crunchbase.com/organization/etna-hitech,,"Cloud Infrastructure, Information Technology, Training","Catania, Sicilia, Italy",Etna Hitech is a consortium of IT companies that promotes research and development of ecosystem.,"2,313,405","European Union (EU), Europe, Middle East, and Africa (EMEA)",95129,,Active,2005-01-01,year,,,,,For Profit,https://etnahitech.com,https://www.facebook.com/ehtconsorzio,https://www.linkedin.com/company/linkedin-eht,info@eht.eu,+39 095 8738 230,Etna Hitech is a joint stock consortium company that operates in the field of public and private tenders and which promotes research and development in different application areas and with multiple projects.,,,,,,,,,,,,"Education, Hardware, Information Technology, Internet Services",,,1001-5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.5,10,,,,
Human Maple,https://www.crunchbase.com/organization/human-maple,,"Environmental Engineering, Recycling, Sustainability, Waste Management","Castelfranco Emilia, Emilia-Romagna, Italy",Maple is an eco-friendly brand that strives to improve the human-environment relationship.,"2,363,948","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,,,,,,,For Profit,https://humanmaple.com,https://www.facebook.com/beahumanmaple,https://www.linkedin.com/company/human-maple/,maple.mafs@gmail.com,+39 3925310075,"Maple is an environmentally conscious company that strives to improve the human-environment relationship. Through a collection and recycling service, its main project, Maple Cigarettes, gives new life to cigarette butts, a polluting and currently undifferentiated waste.",,,,,,,,,,,,"Science and Engineering, Sustainability",3,"Ali Benkouhail, Marco Boccia, Simon Vivacqua",1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.2,10,,,,
Medical Device Partners,https://www.crunchbase.com/organization/medical-device-partners,,"Business Development, Medical Device, Service Industry","Regensburg, Bayern, Germany",Medical Device Partners exclusively in the medical devices industry and is specialised in B2B sales and business development in Europe.,"2,383,084","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2001-01-01,day,,,,,For Profit,https://www.medicaldevicepartners.com/,,,info@MedicalDevicePartners.com,49 941 89059360,,,,,,,,,,,,,"Health Care, Other, Professional Services",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,3.3,2,0,1,,"Pharmaceutical, veterinary and sanitary products"
Sanidrink,https://www.crunchbase.com/organization/sanidrink,,"Food and Beverage, Recycling","Napoli, Campania, Italy",Sanidrink is an antimicrobial technology for food and biomedical safety.,"2,406,827","European Union (EU), Europe, Middle East, and Africa (EMEA)",80146,,Active,,,,,,,For Profit,https://sanidrink.it,https://www.facebook.com/Sanidrink-SRL-101938368818230,https://www.linkedin.com/company/sanidrink-s-r-l/,info@sanidrink.it,+39 081 253 0236,"Sanidrink develops antimicrobial tubular systems for food and biomedical applications. They also develop re-use of water bottles and medical devices. The company's contact modes are by mail, phone, and physical address.",,,,,,,,,,,,"Food and Beverage, Sustainability",2,"Aniello Cammarano, Nunzia Cummaro",1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,4,2,0,3,"Furniture,Domestic Articles Or Appliances; Coffee Mills; Spice Mills",Medical apparatus and instruments
Life Breath,https://www.crunchbase.com/organization/life-breath,,"Energy, Environmental Consulting, Waste Management","Rivoli, Toscana, Italy",Life Breath is an environmental consulting company that develops energy from waste.,"2,421,864","European Union (EU), Europe, Middle East, and Africa (EMEA)",10098,,Active,2018-01-01,year,,,,,For Profit,https://lifebreath.it,,https://www.linkedin.com/company/life-breath/,info@lifebreath.it,+39 011 618 5921,"Life Breath designs some goods to improve the separate collection of plastic, paper, and metal, able to minimize the volume of waste by 80%, lowering the frequency of transportation as a result, reducing the CO2 emissions emitted into the environment. They create synergies among the people who collaborate in the development of their projects.",,,,,,,,,,,,"Energy, Professional Services, Sustainability",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.9,23,1,0,Organic Chemistry,
Technology in Depth,https://www.crunchbase.com/organization/technology-in-depth,,"Consulting, Customer Service, Cyber Security, Information Services, Information Technology","Melbourne, Victoria, Australia","Technology in Depth offers managed IT services, IT consulting, and cyber security reviews.","2,432,401","Asia-Pacific (APAC), Australasia",VIC,$1M to $10M,Active,2020-01-01,year,,,,,For Profit,https://techindepth.com.au,,https://www.linkedin.com/company/technology-in-depth,support@techindepth.com,1300 636 663,"Technology in Depth provides managed IT services and IT consulting. The company focuses on helping businesses work faster and smarter by offering endpoint security monitoring, full cyber security reviews, and IT guidance. With a commitment to improving the digital landscape, Technology in Depth aims to craft futures and cultivate trust through its services.",,,,,,,,,,,,"Information Technology, Other, Privacy and Security, Professional Services",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0,2,,,,
IppocraTech,https://www.crunchbase.com/organization/ippocratech,,"Biotechnology, Clinical Trials, Home Health Care, Life Science, Medical, Wellness","Modena, Emilia-Romagna, Italy",IppocraTech develops medical devices to monitor health remotely.,"2,437,581","European Union (EU), Europe, Middle East, and Africa (EMEA)",41125,,Active,2017-01-01,year,,,,,For Profit,https://ippocra.tech,https://www.facebook.com/IppocraTech/,https://www.linkedin.com/company/ippocratech/,info@vital.st,+39 059 289893,"IppocraTech provides technology that reduces patient drop-out during clinical trials. They care can be used for home self-assessment to increase compliance of patients and adherence to therapy. They offer services for pharma companies, private hospitals, and high-end health and fitness clubs.",,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-3.4,13,,,,
Egojob,https://www.crunchbase.com/organization/egojob,,"Human Resources, Recruiting, Staffing Agency","Milan, Lombardia, Italy",Egojob is a staffing and recruiting company.,"2,440,313","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,Active,,,,,,,For Profit,https://egojob.it,https://www.facebook.com/egojob,https://www.linkedin.com/company/egojob,selezione@egojob.it,,Egojob is a recruiting company that aims to select commercial talents to propose them to companies looking for professional figures to be valued and economically rewarded. Their clients are companies organized to provide high-level training to the selected candidates who will be included in the workforce.,,,,,,,,,,,,"Administrative Services, Professional Services",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.2,11,,,,
BRANDUP,https://www.crunchbase.com/organization/brandup-8bc9,,"Advertising, Marketing","Braga, Braga, Portugal","BRANDUP is a marketing and advertising company which provides Branding & Design, Web & Mobile, Digital Marketing, and Consulting & Training.","2,518,399","European Union (EU), Europe, Middle East, and Africa (EMEA)",4700-387,,Active,2016-01-01,day,,,,,For Profit,http://www.brandup.pt,https://www.facebook.com/brandup.pt,https://www.linkedin.com/company/brandup-the-marketing-agency/,info@brandup.pt,3.51E+11,,,,,,,,,,,,,"Advertising, Sales and Marketing",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.7,3,,,,
YurekAI,https://www.crunchbase.com/organization/yurekai,,"Information Technology, Real Estate","Ivrea, Piemonte, Italy",YurekAI is a digital concierge for real estate.,"2,521,524","European Union (EU), Europe, Middle East, and Africa (EMEA)",10015,,Active,2021-01-01,year,,,,,For Profit,https://yurekai.ch,https://www.facebook.com/yurekaitechnologies,https://www.linkedin.com/showcase/yurekai-first-ai-real-estate-concierge,info@yurekai.com,,YurekAI uses a proprietary predictive algorithm that simplifies the activities of real estate professionals and users. They are available for both iOS and Android and are multi-language.,,,,,,,,,,,,"Information Technology, Real Estate",1,Diego De Maio,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.1,10,,,,
Intensivecare,https://www.crunchbase.com/organization/intensivecare,,"Manufacturing, Medical Device, Wholesale","Salerno, Campania, Italy",Intensivecare is a manufacturer and supplier of electromedical equipment.,"2,534,285","European Union (EU), Europe, Middle East, and Africa (EMEA)",84131,$1M to $10M,Active,,,,,,,For Profit,https://www.intensivecarespa.com,https://www.facebook.com/intensivecarespa/,https://www.linkedin.com/company/intensivecare/,info@intensivecarespa.com,+39 0892882434,,,,,,,,,,,,,"Commerce and Shopping, Health Care, Manufacturing",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.8,19,,,,
Data Rover,https://www.crunchbase.com/organization/data-rover,,"Analytics, Cloud Security, Cyber Security, Data Mining, Information Technology, Software","Siena, Toscana, Italy",ADVANCED USER DATA AND SECURITY MANAGEMENT FOR ANY DATA-DRIVEN ORGANIZATION,"2,572,830","European Union (EU), Europe, Middle East, and Africa (EMEA)",53100,,Active,2016-08-01,month,,,,,For Profit,http://www.data-rover.com,,https://www.linkedin.com/company/data-rover-ltd,info@data-rover.com,,"Data Rover, like all “rovers”, has a scientific and business mission to accomplish. Go over the terrain, collect the data, and determine if the environment we are in is safe and hospitable or not, then exploit and deliver! Data Rover combines the two domains of Risk Management and Data Science giving Organisations the ability to leverage upon their own data in order to extract valuable information and to secure their business processes and assets. Any company in the world that considers their data as a valuable asset and fundamental to their success and existence needs Data Rover, be it for an emerging company to a giant corporate. Data Rover is a peer to peer and/or cloud based software solution that collects and analyses unstructured data usage on any file system, its content and its risk vulnerability,  delivers valuable information to the data custodians, CISO, CTO, DPO, project stakeholders, business managers, legal office and so on. Data Rover’s finite objectives are multi-fold: check and clean up the environment, safeguard and enhance the business critical interests of the organization, and deliver a thriving business opportunity to those who promote and work with our solution.",,,,,,,,,,,,"Data and Analytics, Information Technology, Privacy and Security, Software",4,"Christopher Charles-Paul Shelton-Agar, Gabriele Marini, Leonardo Zanus, Luca Pallanti",11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.9,2,0,1,,Scientific and electric apparatus and instruments
Letyourboat,https://www.crunchbase.com/organization/letyourboat,,"E-Commerce, Hospitality, Internet, Marketplace","Genoa, Liguria, Italy","LetYourBoat is a blue marketplace where, in a few clicks, travelers meet boat owners for boat stays in Marina and boat experiences.","2,575,477","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2018-01-01,year,,,,,For Profit,https://www.letyourboat.com/,https://www.facebook.com/letboat,https://www.linkedin.com/company/letyourboat,info@letyourboat.com,,"LetYourBoat is a blue marketplace where, in a few clicks, travelers meet boat owners for boat stays in Marina and boat experiences. An easy and affordable way to experience the onboard experience bypassing seasonality. LetYourBoat is a new concept of hospitality and tourist accommodation. Boat experiences and unforgettable nights on board moored in the Marina with the comfort of a hotel and the unique charm that only a boat can give.",,,,,,,,,,,,"Commerce and Shopping, Internet Services, Travel and Tourism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.5,3,,,,
NCore,https://www.crunchbase.com/organization/ncore-bede,,"Cloud Security, Consulting, Customer Service, Information Technology, Software Engineering","Breda, Noord-Brabant, The Netherlands","NCore provides IT solutions, consultancy, system integration, and managed services to enhance business success.","2,605,290","European Union (EU), Europe, Middle East, and Africa (EMEA)",4825,,Active,1998-01-01,year,,,,,For Profit,https://www.ncore.nl,,https://www.linkedin.com/company/incorporit,info@ncore.nl,+33 085 303 57 00,,,,,,,,,,,,,"Information Technology, Other, Privacy and Security, Professional Services, Science and Engineering, Software",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.7,,,,,
Little Italy,https://www.crunchbase.com/organization/little-italy,,"E-Commerce, Food and Beverage, Wholesale","Dublin, Dublin, Ireland","Little Italy Ltd offers premium Italian food and wine, including bitters, vinegars, gluten-free bread, and snacks.","2,615,450","European Union (EU), Europe, Middle East, and Africa (EMEA)",D07 TH28,$1M to $10M,Active,1976-01-01,year,,,,,For Profit,https://www.littleitalyltd.com,https://www.facebook.com/Little.Italy.Ltd,https://www.linkedin.com/company/little-italy-ltd/,info@littleitalyltd.com,+353 00353 1 8725208,"Little Italy Ltd specializes in providing premium quality Italian food and wine. The company offers a wide range of authentic Italian products, including classic Italian bitters, aged vinegars, gluten-free bread, and various snacks. Customers can shop online through their website and enjoy free shipping for orders over €50.00 in specific areas. Little Italy Ltd ensures that all products are sourced carefully to deliver genuine Italian flavors.",,,,,,,,,,,,"Commerce and Shopping, Food and Beverage",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.8,11,,,,
ConnectLab,https://www.crunchbase.com/organization/connectlab,,"Apps, Mobile, Mobile Apps, Software","Milan, Lombardia, Italy","ConnectLab created DOTS, the new mobile IoT brand that is all about staying connected to the things and people.","2,647,588","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,,,,,,,For Profit,https://connectlab.co/,,https://www.linkedin.com/company/connectlab,contact@connectlab.co,,"ConnectLab created DOTS, the new mobile IoT brand that is all about staying connected to the things and people.  DOTS products in combination with custom apps and the power of cloud technology that allows the client to track, connect, and protect loved ones, pets, and belongings. With DOTS solution and a single app, the client can track everything they value, from people to things.",,,,,,,,,,,,"Apps, Mobile, Software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2.5,4,,,,
Henshin,https://www.crunchbase.com/organization/henshin,,"Animation, Management Consulting, Media and Entertainment, Video Games","Berkeley, California, United States","We help companies be successful in anime and related industries through insights, growth, and innovation.","2,647,623","San Francisco Bay Area, West Coast, Western US",94710,$1M to $10M,Active,2014-08-01,month,,,,,For Profit,https://henshin.com,,https://www.linkedin.com/company/henshin,inquiries@henshin.com,510-992-6700,"Henshin is the world’s first management consulting practice for the anime sector. We help companies be successful in anime and related industries through insights, growth, and innovation.",,,,,,,,,,,,"Gaming, Media and Entertainment, Professional Services, Video",1,Rob Pereyda,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.6,6,0,2,,Education; entertainment
Peak Fiber Innovations,https://www.crunchbase.com/organization/peak-fiber-innovations,,"Environmental Consulting, Optical Communication, Sensor","Bolzano, Friuli-Venezia Giulia, Italy",Peak Fiber Innovations is providing environmental monitoring systems for complex natural and artificial structures.,"2,741,214","European Union (EU), Europe, Middle East, and Africa (EMEA)",39100,Less than $1M,Active,,,,,,,For Profit,https://peakfiberinnovations.com,,,info@peakfiberinnovations.com,,Peak Fiber Innovations is developing environmental monitoring modules using the FBG fiber sensor technique. The company offers machine learning algorithms for wideband optical monitoring technology using fiber optic sensors.,,,,,,,,,,,,"Hardware, Professional Services",1,Anna Marina D'Anzeris,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2,3,3,0,Testing,
FintechJobs.Today,https://www.crunchbase.com/organization/fintechjobs-today,,Human Resources,"Milan, Lombardia, Italy",Enabling access to high quality talent in Italian finance via an innovative community-first platform,"2,788,862","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2020-12-01,month,,,,,For Profit,https://www.fintechjobs.today/,https://www.facebook.com/fintechjobstoday/,https://www.linkedin.com/company/fintechjobs-today,hello@fintechjobs.today,,"FintechJobs.Today creates a digital bridge to help highly skilled, local people find meaningful work and support Milan's growing Fintech ecosystem.",,,,,,,,,,,,Administrative Services,1,Nik Blanarik,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.2,,,,,
Social Science Institute,https://www.crunchbase.com/organization/social-science-institute,,"Analytics, Business Development, Market Research","Hamburg, Hamburg, Germany",Social Science Institute is a market research company that analyzes and shapes the internal and external relations of companies.,"2,798,847","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,1993-01-01,year,,,,,For Profit,https://www.swi-schad.de/,https://www.facebook.com/SWISchad/,https://www.linkedin.com/company/swi-zukunftsweisende-kunden-und-mitarbeiterbeziehungen/,socialmedia@swi-schad.de,+49 40 4111690,,,,,,,,,,,,,"Data and Analytics, Design, Professional Services",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.1,3,,,,
Mercato Itinerante,https://www.crunchbase.com/organization/mercato-itinerante,,"Delivery, Food and Beverage, Sustainability","Turin, Piemonte, Italy",Mercato Itinerante is a delivery service for food products.,"2,825,884","European Union (EU), Europe, Middle East, and Africa (EMEA)",10135,,Active,2020-01-01,year,,,,,For Profit,https://mercatoitinerante.it,https://www.facebook.com/mercatoitinerante,https://www.linkedin.com/company/mercato-itinerante,info@mercatoitinerante.it,+39 329 196 8410,Mercato Itinerante is a computerization and delivery service for food products and not directly from markets. They carry out and support a digitalization process for small businesses by stimulating a circular economy.,,,,,,,,,,,,"Administrative Services, Food and Beverage, Sustainability",2,"Andrea Scalogna, Eman Saffo",1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.8,11,,,,
Optosensing,https://www.crunchbase.com/organization/optosensing,,"Field Support, Network Hardware, Telecommunications","Napoli, Campania, Italy",Optosensing supplies optical fiber devices.,"2,852,772","European Union (EU), Europe, Middle East, and Africa (EMEA)",80137,$1M to $10M,Active,2013-01-01,year,,,,,For Profit,https://www.optosensing.it,https://www.facebook.com/Optosensingsrl,https://www.linkedin.com/company/optosensing,info@optosensing.it,+39 081 751 0326,"Optosensing produces distributed optical fiber sensors and systems for temperature and strain measurement at high temporal and spatial resolution. They offer all services associated with monitoring activity, whose relevance in every sector of the construction industry and environmental protection.",,,,,,,,,,,,"Hardware, Professional Services",2,"Luigi Zeni, Maurizio Mirabile",1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.3,10,4,1,Testing,Scientific and electric apparatus and instruments
Content is King,https://www.crunchbase.com/organization/content-is-king-c017,,"Brand Marketing, Content Marketing, Marketing, Video","Stockholm, Stockholms Lan, Sweden","Content Is King is a marketing agency that offers inbound marketing, content marketing, and video production services.","2,853,529","European Union (EU), Nordic Countries, Scandinavia",111 39,$1M to $10M,Active,2016-01-01,year,,,,,For Profit,https://cisk.se,https://www.facebook.com/ciskmedia/,https://www.linkedin.com/company/cisk-native-ab/,info@cisk.se,+46 70  555 98 8,,,,,,,,,,,,,"Media and Entertainment, Sales and Marketing, Video",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.1,14,,,,
Kytchen,https://www.crunchbase.com/organization/kytchen,,"Food and Beverage, Food Delivery, Food Processing","Rome, Lazio, Italy","Kytchen provides order management software, dispatch orders, and ordinary maintenance services.","2,895,876","European Union (EU), Europe, Middle East, and Africa (EMEA)",00198,,Active,2020-01-01,year,,,,,For Profit,https://www.kytchen.it,,https://www.linkedin.com/company/kytchenaccess,info@kytchen.it,+39 3757291824,"Kytchen workstations are designed for cooking a certain type of kitchen. This improves efficiency and reduces waste, and ultimately helps your line. Their services include order management software, electricity supply in common areas, ordinary maintenance, kytchen manager.",,,,,,,,,,,,"Food and Beverage, Transportation",2,"Muad Akkari, Rami Salhi",1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.6,11,,,,
Z4tec,https://www.crunchbase.com/organization/z4tec,,"Consulting, Mechanical Engineering, Product Research","Ancona, Marche, Italy",Z4tec provides technological engineering and consulting services.,"2,941,538","European Union (EU), Europe, Middle East, and Africa (EMEA)",60131,,Active,2017-01-01,year,,,,,For Profit,https://z4tec.com,,https://www.linkedin.com/company/z4tec,info@z4tec.com,+39 393 9828106,"Z4tec provides industrial production, automation, and applied research. They offer control, production, and automation technologies. They support assessing the innovation potential and profitability of technologies and services. They offer mechanical skills, automation, management, and process consulting.",,,,,,,,,,,,"Data and Analytics, Design, Professional Services, Science and Engineering",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,0,13,,,,
GamEra,https://www.crunchbase.com/organization/gamera,,"Consumer Electronics, E-Commerce, Leasing","Sandefjord, Vestfold, Norway",Gamera AS sells used electronics online with guarantees and return policies.,"2,958,103","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",3241,$1M to $10M,Active,2022-01-01,year,,,,,For Profit,https://gamera.no,https://www.facebook.com/GamEraNorge,https://www.linkedin.com/company/gamerano,support@gamera.no,+47 33 45 03 00,,,,,,,,,,,,,"Commerce and Shopping, Consumer Electronics, Financial Services, Hardware",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2.9,,,,,
Libes,https://www.crunchbase.com/organization/libes,,"Blockchain, eSports, Gaming, Non-Fungible Token (NFT)",,"Libes is a platform enhancing the eSports economy by integrating P2P elements, blockchain, NFTs, and support for players and teams.","2,972,587",,,,Active,,,,,,,For Profit,https://libes.io/,https://www.facebook.com/Libesportsmn,,,,,,,,,,,,,,,,"Blockchain and Cryptocurrency, Gaming, Other, Sports",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1,11,,,,
HRCOFFEE,https://www.crunchbase.com/organization/hrcoffee,,"Business Intelligence, Employment, Human Resources","Molfetta, Puglia, Italy",HRCOFFEE is developing a new managerial management model that puts workers at the center and develops growth strategies.,"2,982,919","European Union (EU), Europe, Middle East, and Africa (EMEA)",70056,,Active,2018-01-01,year,,,,,For Profit,http://www.hrcoffee.it/,,https://www.linkedin.com/company/hrcoffee/,,,HRCOFFEE is developing a new managerial management model that puts workers at the center and develops growth strategies. The company combines HR function with technology to make a new human capital management approach. The company was founded in 2018 and is based in Molfetta.,,,,,,,,,,,,"Administrative Services, Data and Analytics, Professional Services",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-0.5,,,,,
SmanApp,https://www.crunchbase.com/organization/smanapp,,"Apps, Family, Information Technology, Public Safety","Prato, Liguria, Italy",SmanApp is an innovative app that rewards careful drivers.,"2,986,872","European Union (EU), Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://smanapp.com,,https://www.linkedin.com/company/smanapp,info@smanapp.com,39-0574-743467,,,,,,,,,,,,,"Apps, Community and Lifestyle, Government and Military, Information Technology, Software",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-2.5,3,0,2,,Scientific and electric apparatus and instruments
SurgeTech,https://www.crunchbase.com/organization/surgetech,,"Information Technology, Machine Learning, Software Engineering","Austin, Texas, United States",Surgetech aids in demand prediction and offers surgical tech training.,"2,994,197",Southern US,78701,,Active,,,,,,,For Profit,https://surgetech.cloud/,,,info@surgetech.cloud,+1 737 309 0502,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,2.6,,1,0,,
GoCamera,https://www.crunchbase.com/organization/gocamera,,"B2B, B2C, Consumer Electronics, E-Commerce","Civitavecchia, Lazio, Italy","GoCamera is an e-commerce that offers action Cams, drones, camcorders, gimbals, power banks, projectors, speakers, and various accessories.","3,007,255","European Union (EU), Europe, Middle East, and Africa (EMEA)",00053,$1M to $10M,Active,2011-01-01,year,,,,,For Profit,https://www.gocamera.it/,https://www.facebook.com/GoCamera,https://www.linkedin.com/company/gocamera/,esoda-srl@legalmail.it,+39 076633250,,,,,,,,,,,,,"Commerce and Shopping, Consumer Electronics, Hardware, Other",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,-1.1,8,,,,
